sample id,age,site id,X,Y
1,ADULT,19th,30.18213462,-85.68125918
2,ADULT,19th,30.18213462,-85.68125918
3,JUVENILE,19th,30.18213462,-85.68125918
4,ADULT,19th,30.18213462,-85.68125918
5,ADULT,19th,30.18213462,-85.68125918
6,JUVENILE,19th,30.18213462,-85.68125918
7,ADULT,19th,30.18213462,-85.68125918
8,JUVENILE,19th,30.18213462,-85.68125918
9,ADULT,19th,30.18213462,-85.68125918
10,ADULT,19th,30.18213462,-85.68125918
11,ADULT,19th,30.18213462,-85.68125918
13,ADULT,19th,30.18213462,-85.68125918
14,ADULT,19th,30.18213462,-85.68125918
15,ADULT,19th,30.18213462,-85.68125918
16,JUVENILE,19th,30.18213462,-85.68125918
17,JUVENILE,TLK,30.21668617,-85.65893381
18,JUVENILE,TLK,30.21668617,-85.65893381
19,JUVENILE,TLK,30.21668617,-85.65893381
20,JUVENILE,TLK,30.21668617,-85.65893381
21,JUVENILE,TLK,30.21668617,-85.65893381
22,JUVENILE,TLK,30.21668617,-85.65893381
23,ADULT,TLK,30.21668617,-85.65893381
24,JUVENILE,TLK,30.21668617,-85.65893381
25,ADULT,TLK,30.21668617,-85.65893381
26,JUVENILE,TLK,30.21668617,-85.65893381
27,JUVENILE,TLK,30.21668617,-85.65893381
28,JUVENILE,TLK,30.21668617,-85.65893381
30,JUVENILE,TLK,30.21668617,-85.65893381
31,JUVENILE,TLK,30.21668617,-85.65893381
32,JUVENILE,TLK,30.21668617,-85.65893381
33,JUVENILE,TLK,30.21668617,-85.65893381
34,JUVENILE,TLK,30.21668617,-85.65893381
35,JUVENILE,TLK,30.21668617,-85.65893381
36,ADULT,TLK,30.21668617,-85.65893381
37,JUVENILE,TLK,30.21668617,-85.65893381
38,ADULT,TLK,30.21668617,-85.65893381
39,ADULT,TLK,30.21668617,-85.65893381
41,ADULT,OA,30.21237032,-85.68485208
42,ADULT,OA,30.21237032,-85.68485208
43,ADULT,OA,30.21237032,-85.68485208
44,ADULT,W390,30.20330077,-85.67328514
45,ADULT,W390,30.20330077,-85.67328514
46,ADULT,W390,30.20330077,-85.67328514
47,ADULT,W390,30.20330077,-85.67328514
48,ADULT,W390,30.20330077,-85.67328514
49,ADULT,W390,30.20330077,-85.67328514
50,ADULT,W390,30.20330077,-85.67328514
51,ADULT,HP,30.28042082,-85.58384025
52,JUVENILE,HP,30.28042082,-85.58384025
53,ADULT,HP,30.28042082,-85.58384025
54,JUVENILE,HP,30.28042082,-85.58384025
55,ADULT,HP,30.28042082,-85.58384025
57,ADULT,HP,30.28042082,-85.58384025
60,ADULT,HP,30.28042082,-85.58384025
61,ADULT,HP,30.28042082,-85.58384025
67,ADULT,TW,30.22463112,-85.61271826
68,ADULT,TW,30.22463112,-85.61271826
69,ADULT,TW,30.22463112,-85.61271826
70,ADULT,TW,30.22463112,-85.61271826
71,ADULT,TW,30.22463112,-85.61271826
72,ADULT,TW,30.22463112,-85.61271826
73,ADULT,TW,30.22463112,-85.61271826
74,ADULT,TW,30.22463112,-85.61271826
75,ADULT,TW,30.22463112,-85.61271826
76,ADULT,TW,30.22463112,-85.61271826
77,ADULT,TW,30.22463112,-85.61271826
78,ADULT,TW,30.22463112,-85.61271826
79,ADULT,TW,30.22463112,-85.61271826
80,ADULT,TW,30.22463112,-85.61271826
81,ADULT,TW,30.22463112,-85.61271826
82,ADULT,TW,30.22463112,-85.61271826
83,ADULT,DP,30.25569504,-85.59135497
84,ADULT,DP,30.25569504,-85.59135497
85,ADULT,DP,30.25569504,-85.59135497
86,ADULT,DP,30.25569504,-85.59135497
87,ADULT,DP,30.25569504,-85.59135497
88,ADULT,DP,30.25569504,-85.59135497
89,ADULT,DP,30.25569504,-85.59135497
90,ADULT,DP,30.25569504,-85.59135497
91,ADULT,TE,30.18744783,-85.56537928
93,ADULT,TE,30.18744783,-85.56537928
94,ADULT,TE,30.18744783,-85.56537928
96,ADULT,TE,30.18744783,-85.56537928
97,SUBADULT,TE,30.18744783,-85.56537928
98,ADULT,TE,30.18744783,-85.56537928
99,JUVENILE,TE,30.18744783,-85.56537928
100,ADULT,TE,30.18744783,-85.56537928
101,JUVENILE,TE,30.18744783,-85.56537928
102,HATCHLING,TE,30.18744783,-85.56537928
103,SUBADULT,TE,30.18744783,-85.56537928
104,ADULT,TE,30.18744783,-85.56537928
105,ADULT,TE,30.18744783,-85.56537928
106,ADULT,TE,30.18744783,-85.56537928
107,ADULT,TE,30.18744783,-85.56537928
108,ADULT,TE,30.18744783,-85.56537928
109,ADULT,TE,30.18744783,-85.56537928
110,ADULT,TE,30.18744783,-85.56537928
111,SUBADULT,TE,30.18744783,-85.56537928
112,SUBADULT,TE,30.18744783,-85.56537928
113,ADULT,TE,30.18744783,-85.56537928
114,ADULT,TE,30.18744783,-85.56537928
115,ADULT,TE,30.18744783,-85.56537928
116,ADULT,TE,30.18744783,-85.56537928
117,SUBADULT,TE,30.18744783,-85.56537928
118,SUBADULT,TE,30.18744783,-85.56537928
119,SUBADULT,TE,30.18744783,-85.56537928
120,ADULT,TE,30.18744783,-85.56537928
121,ADULT,TE,30.18744783,-85.56537928
